NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  47 GTMIN  0100.50  3 2021  3 2021                                                                                                                                                                     
  47 GTMIN  0100.50  4 2021  8 2021                                                                                                                                                                     
  47 GTMIN  0100.50  9 2021  9 2021                                                                                                                                                                     
  47 GTMIN  0100.50 10 2021 10 2021                                                                                                                                                                     
  47 GTMIN  0100.50 11 2021 11 2021                                                                                                                                                                     
  47 GTMIN  0100.50 12 2021  1 2022                                                                                                                                                                     
  47 GTMIN  0100.50  2 2022  2 2022                                                                                                                                                                     
  47 GTMIN  0100.50  3 2022  3 2022                                                                                                                                                                     
  47 GTMIN  0100.50  4 2022  8 2022                                                                                                                                                                     
  47 GTMIN  0100.50  9 2022  9 2022                                                                                                                                                                     
  47 GTMIN  0100.50 10 2022 10 2022                                                                                                                                                                     
  47 GTMIN  0100.50 11 2022 11 2022                                                                                                                                                                     
  47 GTMIN  0100.50 12 2022                                                                                                                                                                             
 215 POTEF   770.33  8 2018 12 2019  TERMORIO_L1                                                                                                                                                        
 215 GTMIN  0074.73  8 2018  8 2018                                                                                                                                                                     
 215 GTMIN  0074.73  9 2018  9 2018                                                                                                                                                                     
 215 GTMIN  0074.73 10 2018 10 2018                                                                                                                                                                     
 215 GTMIN  0074.73 11 2018 11 2018                                                                                                                                                                     
 215 GTMIN  0074.73 12 2018 12 2018                                                                                                                                                                     
 215 GTMIN  0074.73  1 2019  1 2019                                                                                                                                                                     
 215 GTMIN  0074.73  2 2019  2 2019                                                                                                                                                                     
 215 GTMIN  0074.73  3 2019  3 2019                                                                                                                                                                     
 215 GTMIN  0074.73  4 2019  8 2019                                                                                                                                                                     
 215 GTMIN  0074.73  9 2019  9 2019                                                                                                                                                                     
 215 GTMIN  0074.73 10 2019 10 2019                                                                                                                                                                     
 215 GTMIN  0074.73 11 2019 11 2019                                                                                                                                                                     
 215 GTMIN  0074.73 12 2019 12 2019                                                                                                                                                                     
 216 POTEF   265.67  8 2018 12 2019  TERMORIO_L13                                                                                                                                                       
 216 FCMAX    53.12  8 2018  8 2018                                                                                                                                                                     
 216 GTMIN  0025.77  8 2018  8 2018                                                                                                                                                                     
 216 FCMAX    72.31  9 2018  9 2018                                                                                                                                                                     
 216 GTMIN  0025.77  9 2018  9 2018                                                                                                                                                                     
 216 FCMAX   100.00 10 2018 12 2019                                                                                                                                                                     
 216 GTMIN  0025.77 10 2018 10 2018                                                                                                                                                                     
 216 GTMIN  0025.77 11 2018 11 2018                                                                                                                                                                     
 216 GTMIN  0025.77 12 2018 12 2018                                                                                                                                                                     
 216 GTMIN  0025.77  1 2019  1 2019                                                                                                                                                                     
 216 GTMIN  0025.77  2 2019  2 2019                                                                                                                                                                     
 216 GTMIN  0025.77  3 2019  3 2019                                                                                                                                                                     
 216 GTMIN  0025.77  4 2019  8 2019                                                                                                                                                                     
 216 GTMIN  0025.77  9 2019  9 2019                                                                                                                                                                     
 216 GTMIN  0025.77 10 2019 10 2019                                                                                                                                                                     
 216 GTMIN  0025.77 11 2019 11 2019                                                                                                                                                                     
 216 GTMIN  0025.77 12 2019 12 2019                                                                                                                                                                     
  68 POTEF   350.00  1 2020          TRES LAGOAS                                                                                                                                                        
 236 POTEF   466.31  1 2022          VALE AZUL II                                                                                                                                                       
 236 GTMIN   420.83  1 2022  4 2022                                                                                                                                                                     
 236 GTMIN   420.83 11 2022                                                                                                                                                                             
  49 POTEF   174.60  8 2018          VIANA                                                                                                                                                              
 108 POTEF    53.58  8 2018          XAVANTES                                                                                                                                                           
  48 POTEF   484.50  8 2018          ARAUCARIA                                                                                                                                                          
  48 FCMAX     0.00  8 2018                                                                                                                                                                             
 237 POTEF    50.00 12 2020          CAMBARA                                                                                                                                                            
 237 GTMIN  0020.00 12 2020                                                                                                                                                                             
 156 POTEF   350.00  8 2018          CANDIOTA 3                                                                                                                                                         
 156 FCMAX    71.43  8 2018  9 2018                                                                                                                                                                     
 156 FCMAX    91.43 10 2018                                                                                                                                                                             
 156 GTMIN   183.07  8 2018  9 2018                                                                                                                                                                     
 156 GTMIN  0210.00  1 2019  3 2019                                                                                                                                                                     
 156 IPTER     0.00  1 2019  5 2019                                                                                                                                                                     
 156 GTMIN  0210.00  4 2019  5 2019                                                                                                                                                                     
 156 IPTER   100.00  6 2019  6 2019                                                                                                                                                                     
 156 IPTER    32.26  7 2019  7 2019                                                                                                                                                                     
 156 GTMIN   158.73  7 2019  7 2019                                                                                                                                                                     
 156 IPTER     0.00  8 2019  5 2020                                                                                                                                                                     
 156 GTMIN  0210.00  8 2019 10 2019                                                                                                                                                                     
 156 IPTER   100.00  6 2020  6 2020                                                                                                                                                                     
 156 GTMIN  0210.00 11 2019  3 2020                                                                                                                                                                     
 156 IPTER    32.26  7 2020  7 2020                                                                                                                                                                     
 156 GTMIN  0210.00  4 2020  5 2020                                                                                                                                                                     
 156 IPTER     0.00  8 2020  5 2021                                                                                                                                                                     
 156 IPTER   100.00  6 2021  6 2021                                                                                                                                                                     
 156 GTMIN   158.73  7 2020  7 2020                                                                                                                                                                     
 156 IPTER    32.26  7 2021  7 2021                                                                                                                                                                     
 156 GTMIN  0210.00  8 2020 10 2020                                                                                                                                                                     
 156 IPTER     0.00  8 2021  5 2022                                                                                                                                                                     
 156 GTMIN  0210.00 11 2020  3 2021                                                                                                                                                                     
